;GO:0036376;GO:0032692;GO:1904179;GO:0009313;GO:0006682;GO:0042136;GO:1902714;GO:0003333;GO:0009436;GO:0019481;GO:0019482;GO:0071417;GO:0050435;GO:0035435;GO:0042426;GO:0046628;GO:1904064;GO:0065003;GO:0050728;GO:0006212;GO:0006210;GO:1903017;GO:1904985;GO:0046500;GO:1904468;GO:0006579;GO:0007269;GO:0090181;GO:0032715;GO:0006569;GO:0001558;GO:2000649;GO:0034971;GO:0035543;GO:0015711;GO:0051259;GO:0072615;GO:0036112;GO:0045429;GO:0090314;GO:0046477;GO:0022900;GO:0043124;GO:0045944;GO:0008206;GO:0043401;GO:0006544;GO:0032703;GO:0072488;GO:0071398;GO:1990822;GO:0043252;GO:0033477;GO:0035774;GO:0032787;GO:1905695;GO:0034162;GO:0070858;GO:0055089;GO:0008295;GO:0045956;GO:0046135;GO:0071267;GO:0010804;GO:0010248;GO:0050900;GO:0051957;GO:0018003;GO:0015812;GO:0032414;GO:0015811;GO:0015874;GO:2001250;GO:0015872;GO:0006487;GO:0006520;GO:1901787;GO:0045329;GO:0046415;GO:0006367;GO:0006637;GO:0051289;GO:0015747;GO:0035356;GO:0015760;GO:0032088;GO:0034142;GO:0038185;GO:0043312;GO:0042742;GO:0007589;GO:1990573;GO:0097055;GO:0007219;GO:0010628;GO:0051692;GO:0001080;GO:0015879;GO:0015697;GO:2001275;GO:0034255;GO:1905004;GO:0000122;GO:0006855;GO:0019265;GO:0071638;GO:0015721;GO:0016139;GO:1905012;GO:0007043;GO:0006633;GO:0006479;GO:0071222;GO:0043066;GO:0045087;GO:0006749;GO:0006508;GO:0015739;GO:0035725;GO:0033388;GO:0050666
GO:0006633;0.0;0.0;0.0;0.06927734236639929;0.34971930164174847;0.14450116634992752;0.0;0.0;0.365604090407221;0.304136849461119;0.304136849461119;0.01468324974140624;0.06886689890529227;0.0;0.06886689890529227;0.0;0.0;0.01468324974140624;0.0;0.2355376372194388;0.2355376372194388;0.0;0.0;0.06886689890529227;0.0;0.06886689890529227;0.01468324974140624;0.0;0.0;0.304136849461119;0.0;0.0;0.06927734236639929;0.0;0.0;0.01468324974140624;0.01468324974140624;0.06886689890529227;0.0;0.0;0.29564490308903574;0.06886689890529227;0.0;0.0;0.365604090407221;0.01468324974140624;0.304136849461119;0.0;0.0;0.01468324974140624;0.0;0.0;0.06886689890529227;0.0;0.365604090407221;0.0;0.01468324974140624;0.0;0.0;0.14450116634992752;0.0;0.2355376372194388;0.40780233519926207;0.0;0.0;0.01468324974140624;0.0;0.06927734236639929;0.0;0.0;0.0;0.0;0.0;0.0;0.06927734236639929;0.304136849461119;0.06886689890529227;0.14450116634992752;0.2922540922411925;0.14450116634992752;0.06886689890529227;0.01468324974140624;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.0;0.01468324974140624;0.1418425576658879;0.01468324974140624;0.0;0.06927734236639929;0.01468324974140624;0.0;0.0;0.0;0.0;0.45456902583124836;0.0;0.0;0.40780233519926207;0.0;0.0;0.06501482195767329;0.0;0.01468324974140624;1.0;0.06927734236639929;0.01468324974140624;0.0;0.0;0.06886689890529227;0.06927734236639929;0.0;0.0;0.304136849461119;0.0
GO:0006479;0.0;0.0;0.0;0.06927734236639929;0.1237146889194086;0.06886689890529227;0.0;0.0;0.06886689890529227;0.1237146889194086;0.1237146889194086;0.01468324974140624;0.1237146889194086;0.0;0.1237146889194086;0.0;0.0;0.01468324974140624;0.0;0.1237146889194086;0.1237146889194086;0.0;0.0;0.06886689890529227;0.0;0.1237146889194086;0.01468324974140624;0.0;0.0;0.1237146889194086;0.0;0.0;0.5029379352731107;0.0;0.0;0.01468324974140624;0.01468324974140624;0.06886689890529227;0.0;0.0;0.1237146889194086;0.06886689890529227;0.0;0.0;0.06927734236639929;0.01468324974140624;0.1237146889194086;0.0;0.0;0.01468324974140624;0.0;0.0;0.1237146889194086;0.0;0.06886689890529227;0.0;0.01468324974140624;0.0;0.0;0.1237146889194086;0.0;0.1237146889194086;0.1237146889194086;0.0;0.0;0.01468324974140624;0.0;0.18032682375526765;0.0;0.0;0.0;0.0;0.0;0.0;0.18032682375526765;0.1237146889194086;0.06886689890529227;0.1237146889194086;0.1237146889194086;0.08547128021085358;0.06886689890529227;0.01468324974140624;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.0;0.01468324974140624;0.1237146889194086;0.01468324974140624;0.0;0.06927734236639929;0.01468324974140624;0.0;0.0;0.0;0.0;0.1237146889194086;0.0;0.0;0.1237146889194086;0.0;0.0;0.06501482195767329;0.0;0.01468324974140624;0.06927734236639929;1.0;0.01468324974140624;0.0;0.0;0.1237146889194086;0.1468397877411918;0.0;0.0;0.1237146889194086;0.0
GO:0071222;0.0;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624;0.0;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.26838521347675653;0.01468324974140624;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.0;0.01468324974140624;0.01468324974140624;0.0;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.0;0.39163442808277504;0.0;0.0;0.01468324974140624;0.0;0.01468324974140624;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.307600388966433;0.0;0.01468324974140624;0.0;0.01468324974140624;0.0;0.01468324974140624;0.25275595634260717;0.0;0.0;0.0;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;1.0;0.0;0.11807622278079505;0.01468324974140624;0.0;0.0;0.0;0.01468324974140624;0.0
GO:0043066;0.0;0.12804570306913615;0.042064647228987374;0.0;0.0;0.036692364793703955;0.13839445927415203;0.0;0.0;0.0;0.036692364793703955;0.0;0.0;0.0;0.036692364793703955;0.047799631016701725;0.042064647228987374;0.0;0.12804570306913615;0.0;0.0;0.036692364793703955;0.13839445927415203;0.0;0.13839445927415203;0.0;0.036692364793703955;0.042064647228987374;0.12804570306913615;0.0;0.047799631016701725;0.042064647228987374;0.0;0.047799631016701725;0.0;0.0;0.0;0.0;0.047799631016701725;0.042064647228987374;0.0;0.0;0.13839445927415203;0.047799631016701725;0.0;0.047799631016701725;0.036692364793703955;0.12804570306913615;0.0;0.0;0.0;0.0;0.0;0.047799631016701725;0.0;0.047799631016701725;0.047799631016701725;0.13839445927415203;0.036692364793703955;0.0;0.047799631016701725;0.0;0.0;0.13839445927415203;0.0;0.0;0.042064647228987374;0.0;0.0;0.042064647228987374;0.0;0.0;0.047799631016701725;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.036692364793703955;0.0;0.12804570306913615;0.047799631016701725;0.047799631016701725;0.0;0.0;0.036692364793703955;0.0;0.0;0.047799631016701725;0.042064647228987374;0.0;0.047799631016701725;0.0;0.0;0.047799631016701725;0.047799631016701725;0.0;0.13839445927415203;0.0;0.036692364793703955;0.12804570306913615;0.0;0.0;0.047799631016701725;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.047799631016701725
GO:0045087;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.11807622278079505;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.11807622278079505;0.0;0.0;0.0;0.0;0.0;0.0;0.20709043845653538;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.20709043845653538;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.20709043845653538;0.0;0.20709043845653538;0.27499689082764317;0.0;0.0;0.0;0.0;0.0;0.0;0.11807622278079505;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.11807622278079505;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0006749;0.0;0.0;0.0;0.06501482195767329;0.35899014498592824;0.06886689890529227;0.0;0.0;0.06886689890529227;0.1237146889194086;0.1237146889194086;0.01468324974140624;0.394890302773448;0.0;0.12826917739045696;0.0;0.0;0.01468324974140624;0.0;0.12826917739045696;0.12826917739045696;0.0;0.0;0.39882463755424497;0.0;0.12826917739045696;0.01468324974140624;0.0;0.0;0.12826917739045696;0.0;0.0;0.1237146889194086;0.0;0.0;0.01468324974140624;0.01468324974140624;0.39882463755424497;0.0;0.0;0.35899014498592824;0.06886689890529227;0.0;0.0;0.06886689890529227;0.01468324974140624;0.1237146889194086;0.0;0.0;0.01468324974140624;0.0;0.0;0.4677337120236658;0.0;0.06886689890529227;0.0;0.01468324974140624;0.0;0.0;0.12826917739045696;0.0;0.12826917739045696;0.39882463755424497;0.0;0.0;0.01468324974140624;0.0;0.1237146889194086;0.0;0.0;0.0;0.0;0.0;0.0;0.1237146889194086;0.1237146889194086;0.39882463755424497;0.12826917739045696;0.12826917739045696;0.12826917739045696;0.39882463755424497;0.01468324974140624;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.0;0.01468324974140624;0.1237146889194086;0.01468324974140624;0.0;0.06886689890529227;0.01468324974140624;0.0;0.0;0.0;0.0;0.12826917739045696;0.0;0.0;0.1237146889194086;0.0;0.0;0.06501482195767329;0.0;0.01468324974140624;0.06886689890529227;0.1237146889194086;0.01468324974140624;0.0;0.0;1.0;0.1237146889194086;0.0;0.0;0.12826917739045696;0.0
GO:0006508;0.0;0.0;0.0;0.06927734236639929;0.1237146889194086;0.05923137626096931;0.0;0.0;0.06501482195767329;0.1237146889194086;0.1237146889194086;0.0;0.1237146889194086;0.0;0.1237146889194086;0.0;0.0;0.0;0.0;0.1237146889194086;0.1237146889194086;0.0;0.0;0.06501482195767329;0.0;0.1237146889194086;0.0;0.0;0.0;0.1237146889194086;0.0;0.0;0.1468397877411918;0.0;0.0;0.0;0.0;0.06501482195767329;0.0;0.0;0.1237146889194086;0.05923137626096931;0.0;0.0;0.06927734236639929;0.0;0.1237146889194086;0.0;0.0;0.0;0.0;0.0;0.1237146889194086;0.0;0.06501482195767329;0.0;0.0;0.0;0.0;0.1237146889194086;0.0;0.1237146889194086;0.1237146889194086;0.0;0.0;0.0;0.0;0.1468397877411918;0.0;0.0;0.0;0.0;0.0;0.0;0.1468397877411918;0.1237146889194086;0.06501482195767329;0.1237146889194086;0.1237146889194086;0.08547128021085358;0.06501482195767329;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1237146889194086;0.0;0.0;0.06927734236639929;0.0;0.0;0.0;0.0;0.0;0.1237146889194086;0.0;0.0;0.1237146889194086;0.0;0.0;0.06501482195767329;0.0;0.0;0.06927734236639929;0.1468397877411918;0.0;0.0;0.0;0.1237146889194086;1.0;0.0;0.0;0.1237146889194086;0.0
GO:0015739;0.2671917332720723;0.0;0.0;0.0;0.0;0.0;0.0;0.4289194782195439;0.0;0.0;0.0;0.0;0.0;0.3582167568548244;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14698621595948655;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3844177262349106;0.0;0.21812588790229387;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2671917332720723;0.0;0.4289194782195439;0.3844177262349106;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2671917332720723;0.0;0.0;0.0;0.4289194782195439;0.0;0.4289194782195439;0.21812588790229387;0.0;0.2671917332720723;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3844177262349106;0.0;0.5762397948337372;0.0;0.0;0.0;0.14698621595948655;0.0;0.14698621595948655;0.2671917332720723;0.0;0.0;0.0;0.0;0.0;0.2671917332720723;0.2671917332720723;0.0;0.0;0.0;0.0;0.14698621595948655;0.0;0.0;0.4289194782195439;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.2671917332720723;0.0;0.0
GO:0035725;0.5129244070214144;0.0;0.0;0.0;0.0;0.0;0.0;0.3035708264725047;0.0;0.0;0.0;0.0;0.0;0.33566363481728667;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14698621595948655;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2671917332720723;0.0;0.14698621595948655;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3410563925561192;0.0;0.3035708264725047;0.2671917332720723;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3035708264725047;0.0;0.0;0.0;0.2671917332720723;0.0;0.2671917332720723;0.14698621595948655;0.0;0.31265525748836853;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2671917332720723;0.0;0.14698621595948655;0.0;0.0;0.0;0.14698621595948655;0.0;0.14698621595948655;0.3817162942374057;0.0;0.0;0.0;0.0;0.0;0.31265525748836853;0.31265525748836853;0.0;0.0;0.0;0.0;0.272550487440867;0.0;0.0;0.2671917332720723;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2671917332720723;1.0;0.0;0.0
GO:0033388;0.0;0.0;0.0;0.06927734236639929;0.2990439313269274;0.14450116634992752;0.0;0.0;0.304136849461119;0.44880524223943946;0.40937833083349984;0.01468324974140624;0.12826917739045696;0.0;0.5958664249602437;0.0;0.0;0.01468324974140624;0.0;0.2355376372194388;0.2355376372194388;0.0;0.0;0.06886689890529227;0.0;0.12826917739045696;0.01468324974140624;0.0;0.0;0.5958664249602437;0.0;0.0;0.1237146889194086;0.0;0.0;0.01468324974140624;0.01468324974140624;0.06886689890529227;0.0;0.0;0.12826917739045696;0.06886689890529227;0.0;0.0;0.304136849461119;0.01468324974140624;0.44880524223943946;0.0;0.0;0.01468324974140624;0.0;0.0;0.1237146889194086;0.0;0.304136849461119;0.0;0.01468324974140624;0.0;0.0;0.7376567411541474;0.0;0.2355376372194388;0.44880524223943946;0.0;0.0;0.01468324974140624;0.0;0.1237146889194086;0.0;0.0;0.0;0.0;0.0;0.0;0.1237146889194086;0.40937833083349984;0.06886689890529227;0.46717327175561746;0.2922540922411925;0.16878873677315923;0.06886689890529227;0.01468324974140624;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.0;0.01468324974140624;0.2990439313269274;0.01468324974140624;0.0;0.06927734236639929;0.01468324974140624;0.0;0.0;0.0;0.0;0.304136849461119;0.0;0.0;0.44880524223943946;0.0;0.0;0.06501482195767329;0.0;0.01468324974140624;0.304136849461119;0.1237146889194086;0.01468324974140624;0.0;0.0;0.12826917739045696;0.1237146889194086;0.0;0.0;1.0;0.0
GO:0050666;0.0;0.042064647228987374;0.042064647228987374;0.0;0.0;0.036692364793703955;0.047799631016701725;0.0;0.0;0.0;0.036692364793703955;0.0;0.0;0.0;0.036692364793703955;0.047799631016701725;0.042064647228987374;0.0;0.042064647228987374;0.0;0.0;0.036692364793703955;0.38293538010001654;0.0;0.047799631016701725;0.0;0.036692364793703955;0.38293538010001654;0.042064647228987374;0.0;0.047799631016701725;0.042064647228987374;0.0;0.047799631016701725;0.0;0.0;0.0;0.0;0.10900961301269105;0.042064647228987374;0.0;0.0;0.047799631016701725;0.10900961301269105;0.0;0.047799631016701725;0.036692364793703955;0.042064647228987374;0.0;0.0;0.0;0.0;0.0;0.047799631016701725;0.0;0.10648035217448149;0.047799631016701725;0.5146879005871877;0.036692364793703955;0.0;0.047799631016701725;0.0;0.0;0.047799631016701725;0.0;0.0;0.042064647228987374;0.0;0.0;0.042064647228987374;0.0;0.0;0.7164193676121927;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.036692364793703955;0.0;0.10900961301269105;0.047799631016701725;0.047799631016701725;0.0;0.0;0.036692364793703955;0.0;0.0;0.047799631016701725;0.09795404577404272;0.0;0.10900961301269105;0.0;0.0;0.047799631016701725;0.38293538010001654;0.0;0.10900961301269105;0.0;0.036692364793703955;0.042064647228987374;0.0;0.0;0.7164193676121927;0.0;0.0;0.0;0.0;0.047799631016701725;0.0;0.0;0.0;0.0;0.0;0.0;1.0
